date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:24	292/292	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jul%202022%2011:25:24%20GMT	http://h-area.torbara.com/robots.txt		(from )
14:25:24	107018/107018	---M-Z	200	added ('OK')	text/html	etag:%221a20a-57961dcaab1a0-gzip%22	http://h-area.torbara.com/?storefront=envato-elements	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/index04b9.html	(from )
14:25:24	1086/1086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2243e-57961ab6ea4f7%22	http://h-area.torbara.com/favicon.ico	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/favicon.ico	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:25	107018/107018	---M-Z	200	added ('OK')	text/html	etag:%221a20a-57961dcaa82c0-gzip%22	http://h-area.torbara.com/home1.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/home1.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:27	75147/75147	---M-Z	200	added ('OK')	text/html	etag:%221258b-57961dcaa9260-gzip%22	http://h-area.torbara.com/home2.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/home2.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:28	80004/80004	---M-Z	200	added ('OK')	text/html	etag:%2213884-57961dcaa9260-gzip%22	http://h-area.torbara.com/home3.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/home3.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:29	746732/746732	---MCZ	200	added ('OK')	text/css	etag:%22b64ec-579628c4cf79a-gzip%22	http://h-area.torbara.com/css-min/area.min.css	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/css-min/area.min.css	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:29	1746/1746	---M--	200	added ('OK')	image/png	etag:%226d2-57961ab700c55%22	http://h-area.torbara.com/images/logo.png	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/images/logo.png	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:29	120754/120754	---M-Z	200	added ('OK')	text/html	etag:%221d7b2-57961dcaaa200-gzip%22	http://h-area.torbara.com/home4.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/home4.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:29	87992/87992	---M-Z	200	added ('OK')	text/html	etag:%22157b8-57961dcaaa200-gzip%22	http://h-area.torbara.com/home5.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/home5.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:29	22274/22274	---M-Z	200	added ('OK')	text/html	etag:%225702-57961dcaab1a0-gzip%22	http://h-area.torbara.com/intro_page.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/intro_page.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:30	30980/30980	---M-Z	200	added ('OK')	text/html	etag:%227904-57961dcaaa200-gzip%22	http://h-area.torbara.com/home7.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/home7.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:30	30021/30021	---M-Z	200	added ('OK')	text/html	etag:%227545-57961dcaab1a0-gzip%22	http://h-area.torbara.com/home8.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/home8.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:30	57933/57933	---M-Z	200	added ('OK')	text/html	etag:%22e24d-57961dcaac140-gzip%22	http://h-area.torbara.com/listing_sidebar_standart.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/listing_sidebar_standart.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:30	57264/57264	---M-Z	200	added ('OK')	text/html	etag:%22dfb0-57961dcaac140-gzip%22	http://h-area.torbara.com/listings_sidebar_grid.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/listings_sidebar_grid.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:30	38683/38683	---M-Z	200	added ('OK')	text/html	etag:%22971b-57961dcaac140-gzip%22	http://h-area.torbara.com/listings_half_screen_table.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/listings_half_screen_table.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:31	59338/59338	---M-Z	200	added ('OK')	text/html	etag:%22e7ca-57961dcaae080-gzip%22	http://h-area.torbara.com/single_property_1.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/single_property_1.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:31	39699/39699	---M-Z	200	added ('OK')	text/html	etag:%229b13-57961dcaae080-gzip%22	http://h-area.torbara.com/single_property_sub_property.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/single_property_sub_property.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:31	34476/34476	---M-Z	200	added ('OK')	text/html	etag:%2286ac-57961dcaa7320-gzip%22	http://h-area.torbara.com/compare_page.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/compare_page.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:31	42028/42028	---M-Z	200	added ('OK')	text/html	etag:%22a42c-57961dcaa53e0-gzip%22	http://h-area.torbara.com/agencies.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/agencies.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:32	50264/50264	---M-Z	200	added ('OK')	text/html	etag:%22c458-57961dcaad0e0-gzip%22	http://h-area.torbara.com/single_agency.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/single_agency.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:32	59934/59934	---M-Z	200	added ('OK')	text/html	etag:%22ea1e-57961dcaad0e0-gzip%22	http://h-area.torbara.com/single_agency_fullscreen.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/single_agency_fullscreen.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:32	57701/57701	---M-Z	200	added ('OK')	text/html	etag:%22e165-57961dcaa6380-gzip%22	http://h-area.torbara.com/agents.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/agents.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:32	43206/43206	---M-Z	200	added ('OK')	text/html	etag:%22a8c6-57961dcaa6380-gzip%22	http://h-area.torbara.com/agent_grid_fs.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/agent_grid_fs.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:32	49901/49901	---M-Z	200	added ('OK')	text/html	etag:%22c2ed-57961dcaae080-gzip%22	http://h-area.torbara.com/single_agent.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/single_agent.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:33	44428/44428	---M-Z	200	added ('OK')	text/html	etag:%22ad8c-57961dcaae080-gzip%22	http://h-area.torbara.com/single_agent_fullscreen.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/single_agent_fullscreen.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:33	43106/43106	---M-Z	200	added ('OK')	text/html	etag:%22a862-57961dcaa7320-gzip%22	http://h-area.torbara.com/blog_archive.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/blog_archive.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:33	39336/39336	---M-Z	200	added ('OK')	text/html	etag:%2299a8-57961dcaa7320-gzip%22	http://h-area.torbara.com/blog_single_post.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/blog_single_post.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:33	39621/39621	---M-Z	200	added ('OK')	text/html	etag:%229ac5-57961dcaa82c0-gzip%22	http://h-area.torbara.com/faq_page.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/faq_page.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:34	40305/40305	---M-Z	200	added ('OK')	text/html	etag:%229d71-57961dcaaf020-gzip%22	http://h-area.torbara.com/single_question_page.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/single_question_page.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:34	85247/85247	---M-Z	200	added ('OK')	text/html	etag:%2214cff-57961dcaa34a0-gzip%22	http://h-area.torbara.com/account.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/account.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:34	31631/31631	---M-Z	200	added ('OK')	text/html	etag:%227b8f-57961dcaa82c0-gzip%22	http://h-area.torbara.com/contacts2_page.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/contacts2_page.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:34	30234/30234	---M-Z	200	added ('OK')	text/html	etag:%22761a-57961dcaa7320-gzip%22	http://h-area.torbara.com/contacts_page.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/contacts_page.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:35	8576/8576	---M-Z	200	added ('OK')	text/html	etag:%222180-57961dcaa7320-gzip%22	http://h-area.torbara.com/coming_soon.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/coming_soon.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:35	6232/6232	---M-Z	200	added ('OK')	text/html	etag:%221858-57961dcaa82c0-gzip%22	http://h-area.torbara.com/error_page.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/error_page.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:35	6633/6633	---M-Z	200	added ('OK')	text/html	etag:%2219e9-57961dcaac140-gzip%22	http://h-area.torbara.com/maintenance.html	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/maintenance.html	(from http://h-area.torbara.com/?storefront=envato-elements)
14:25:36	3325/3325	---M--	200	added ('OK')	image/png	etag:%22cfd-57961ab71d172%22	http://h-area.torbara.com/images/userpic.png	C:/Users/dell/Desktop/realstate/admin/h-area.torbara.com/images/userpic.png	(from http://h-area.torbara.com/?storefront=envato-elements)
